time,chassis_x,chassis_y,chassis_z,roll_deg,pitch_deg,yaw_deg,susp_FL,susp_FR,susp_RL,susp_RR,steer_deg,steer_FL_deg,steer_FR_deg,speed_mps
0.0020,-0.0000,0.0000,1.1900,-0.000,0.000,0.000,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0001
0.0040,-0.0000,0.0000,1.1900,0.006,-0.000,-0.000,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0095
0.0060,0.0000,0.0001,1.1899,0.010,0.002,-0.000,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0157
0.0080,0.0000,0.0001,1.1900,0.002,0.001,-0.000,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0195
0.0100,0.0000,0.0002,1.1901,0.005,-0.002,0.005,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0457
0.0120,0.0000,0.0003,1.1901,0.007,-0.003,0.012,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0575
0.0140,0.0000,0.0004,1.1902,0.008,-0.004,0.017,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0524
0.0160,0.0000,0.0005,1.1901,0.009,-0.006,0.022,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0514
0.0180,0.0000,0.0006,1.1901,0.010,-0.007,0.026,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0518
0.0200,0.0000,0.0007,1.1900,0.012,-0.007,0.031,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0513
0.0220,0.0000,0.0008,1.1900,0.000,0.000,0.036,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0564
0.0240,0.0000,0.0009,1.1900,-0.002,0.001,0.037,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0582
0.0260,0.0000,0.0010,1.1900,-0.009,0.005,0.035,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0411
0.0280,0.0000,0.0011,1.1901,-0.008,0.003,0.030,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0266
0.0300,0.0000,0.0011,1.1901,-0.009,-0.002,0.023,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0014
0.0320,0.0000,0.0011,1.1902,-0.006,-0.004,0.015,0.8700,0.8700,0.8700,0.8700,0.000,0.000,0.000,0.0011
0.0340,0.0000,0.0011,1.1902,-0.002,-0.007,0.009,0.8700,0.8700,0.8701,0.8700,0.000,0.000,0.000,0.0021
0.0360,0.0000,0.0011,1.1902,0.002,-0.009,0.002,0.8700,0.8700,0.8701,0.8700,0.000,0.000,0.000,0.0020
0.0380,0.0000,0.0011,1.1901,0.003,-0.008,-0.004,0.8700,0.8700,0.8701,0.8701,0.000,0.000,0.000,0.0043
0.0400,0.0000,0.0011,1.1901,0.003,-0.005,-0.011,0.8700,0.8700,0.8701,0.8701,0.000,0.000,0.000,0.0053
0.0420,0.0000,0.0011,1.1900,0.001,-0.001,-0.017,0.8700,0.8700,0.8702,0.8701,0.000,0.000,0.000,0.0060
0.0440,0.0000,0.0011,1.1900,0.001,-0.000,-0.023,0.8700,0.8700,0.8702,0.8701,0.000,0.000,0.000,0.0045
0.0460,0.0000,0.0012,1.1900,0.002,-0.002,-0.025,0.8700,0.8700,0.8703,0.8702,0.000,0.000,0.000,0.0147
0.0480,0.0000,0.0012,1.1900,-0.002,-0.004,-0.026,0.8700,0.8700,0.8703,0.8702,0.000,0.000,0.000,0.0112
0.0500,0.0000,0.0012,1.1900,-0.000,-0.001,-0.030,0.8700,0.8700,0.8703,0.8702,0.000,0.000,0.000,0.0014
0.0520,0.0000,0.0012,1.1900,-0.001,0.000,-0.034,0.8700,0.8700,0.8704,0.8703,0.000,0.000,0.000,0.0047
0.0540,0.0000,0.0012,1.1900,-0.000,0.000,-0.038,0.8700,0.8700,0.8705,0.8703,0.000,0.000,0.000,0.0007
0.0560,0.0000,0.0012,1.1900,0.001,-0.000,-0.040,0.8700,0.8700,0.8706,0.8704,0.000,0.000,0.000,0.0043
0.0580,0.0000,0.0012,1.1900,0.003,-0.002,-0.041,0.8700,0.8700,0.8707,0.8704,0.000,0.000,0.000,0.0119
0.0600,0.0000,0.0012,1.1901,0.001,-0.002,-0.044,0.8700,0.8700,0.8708,0.8705,0.000,0.000,0.000,0.0053
0.0620,0.0000,0.0012,1.1901,-0.000,-0.003,-0.046,0.8700,0.8700,0.8710,0.8705,0.000,0.000,0.000,0.0055
0.0640,0.0000,0.0012,1.1901,-0.001,-0.003,-0.048,0.8700,0.8700,0.8711,0.8706,0.000,0.000,0.000,0.0057
0.0660,0.0000,0.0012,1.1900,-0.002,-0.003,-0.050,0.8700,0.8700,0.8712,0.8707,0.000,0.000,0.000,0.0042
0.0680,0.0000,0.0012,1.1900,0.000,-0.000,-0.052,0.8700,0.8700,0.8714,0.8708,0.000,0.000,0.000,0.0015
0.0700,0.0000,0.0012,1.1899,0.002,-0.001,-0.055,0.8700,0.8700,0.8715,0.8709,0.000,0.000,0.000,0.0004
0.0720,0.0000,0.0012,1.1900,-0.002,0.001,-0.058,0.8700,0.8700,0.8718,0.8710,0.000,0.000,0.000,0.0011
0.0740,0.0000,0.0013,1.1900,-0.001,0.001,-0.060,0.8700,0.8700,0.8719,0.8712,0.000,0.000,0.000,0.0054
0.0760,0.0000,0.0013,1.1900,0.001,-0.000,-0.059,0.8700,0.8700,0.8720,0.8714,0.000,0.000,0.000,0.0155
0.0780,0.0000,0.0013,1.1900,0.001,-0.001,-0.058,0.8700,0.8700,0.8722,0.8716,0.000,0.000,0.000,0.0191
0.0800,0.0000,0.0014,1.1900,0.001,-0.001,-0.056,0.8700,0.8700,0.8724,0.8718,0.000,0.000,0.000,0.0264
0.0820,0.0000,0.0014,1.1900,-0.000,-0.000,-0.054,0.8700,0.8700,0.8726,0.8720,0.000,0.000,0.000,0.0244
0.0840,0.0000,0.0015,1.1900,-0.003,0.001,-0.055,0.8700,0.8700,0.8729,0.8721,0.000,0.000,0.000,0.0142
0.0860,0.0000,0.0015,1.1900,-0.001,0.001,-0.055,0.8700,0.8700,0.8731,0.8723,0.000,0.000,0.000,0.0115
0.0880,0.0000,0.0015,1.1900,-0.000,0.001,-0.056,0.8700,0.8700,0.8733,0.8726,0.000,0.000,0.000,0.0099
0.0900,0.0000,0.0015,1.1900,0.000,-0.000,-0.055,0.8700,0.8700,0.8735,0.8728,0.000,0.000,0.000,0.0136
0.0920,0.0000,0.0016,1.1900,0.001,-0.001,-0.056,0.8700,0.8700,0.8738,0.8731,0.000,0.000,0.000,0.0129
0.0940,0.0000,0.0016,1.1900,-0.000,-0.001,-0.058,0.8700,0.8700,0.8742,0.8734,0.000,0.000,0.000,0.0036
0.0960,0.0000,0.0016,1.1900,-0.001,-0.001,-0.060,0.8700,0.8700,0.8745,0.8737,0.000,0.000,0.000,0.0025
0.0980,0.0000,0.0016,1.1900,-0.001,0.000,-0.062,0.8700,0.8700,0.8747,0.8741,0.000,0.000,0.000,0.0027
0.1000,0.0000,0.0016,1.1900,-0.001,0.000,-0.064,0.8700,0.8700,0.8751,0.8744,0.000,0.000,0.000,0.0040
0.1020,0.0000,0.0016,1.1900,0.000,-0.001,-0.065,0.8700,0.8700,0.8756,0.8747,0.000,0.000,0.000,0.0090
0.1040,0.0000,0.0016,1.1900,0.004,-0.002,-0.065,0.8700,0.8700,0.8760,0.8751,0.000,0.000,0.000,0.0108
0.1060,0.0001,0.0016,1.1900,0.009,-0.005,-0.063,0.8700,0.8700,0.8763,0.8755,0.000,0.000,0.000,0.0177
0.1080,0.0001,0.0017,1.1900,0.014,-0.009,-0.060,0.8700,0.8700,0.8766,0.8758,0.000,0.000,0.000,0.0238
0.1100,0.0001,0.0018,1.1900,0.002,-0.001,-0.057,0.8700,0.8700,0.8769,0.8762,0.000,0.000,0.000,0.0376
0.1120,0.0001,0.0018,1.1901,-0.003,0.003,-0.053,0.8700,0.8700,0.8772,0.8772,0.000,0.000,0.000,0.0405
0.1140,0.0001,0.0019,1.1901,-0.012,0.006,-0.051,0.8700,0.8700,0.8775,0.8783,0.000,0.000,0.000,0.0318
0.1160,0.0001,0.0020,1.1902,-0.016,0.004,-0.051,0.8700,0.8700,0.8778,0.8794,0.000,0.000,0.000,0.0214
0.1180,0.0001,0.0020,1.1902,-0.018,0.002,-0.052,0.8700,0.8700,0.8781,0.8806,0.000,0.000,0.000,0.0091
0.1200,0.0001,0.0020,1.1903,-0.018,0.001,-0.054,0.8700,0.8700,0.8785,0.8819,0.000,0.000,0.000,0.0084
0.1220,0.0001,0.0020,1.1902,-0.017,-0.001,-0.055,0.8700,0.8700,0.8790,0.8832,0.000,0.000,0.000,0.0092
0.1240,0.0002,0.0020,1.1902,-0.014,-0.001,-0.056,0.8701,0.8700,0.8795,0.8846,0.000,0.000,0.000,0.0098
0.1260,0.0002,0.0020,1.1901,-0.010,-0.000,-0.058,0.8701,0.8700,0.8802,0.8860,0.000,0.000,0.000,0.0105
0.1280,0.0002,0.0020,1.1900,-0.005,0.001,-0.059,0.8701,0.8700,0.8808,0.8875,0.000,0.000,0.000,0.0117
0.1300,0.0002,0.0020,1.1900,0.000,-0.000,-0.060,0.8701,0.8700,0.8814,0.8890,0.000,0.000,0.000,0.0131
0.1320,0.0003,0.0020,1.1900,-0.001,-0.001,-0.061,0.8701,0.8700,0.8820,0.8905,0.000,0.000,0.000,0.0148
0.1340,0.0003,0.0020,1.1900,0.002,-0.001,-0.062,0.8701,0.8700,0.8825,0.8916,0.000,0.000,0.000,0.0166
0.1360,0.0003,0.0020,1.1900,-0.001,-0.000,-0.062,0.8701,0.8700,0.8833,0.8927,0.000,0.000,0.000,0.0198
0.1380,0.0004,0.0020,1.1900,-0.001,0.000,-0.061,0.8701,0.8700,0.8840,0.8941,0.000,0.000,0.000,0.0211
0.1400,0.0004,0.0020,1.1900,-0.001,0.000,-0.061,0.8701,0.8700,0.8846,0.8955,0.000,0.000,0.000,0.0216
0.1420,0.0005,0.0021,1.1900,-0.001,-0.000,-0.061,0.8701,0.8700,0.8853,0.8970,0.000,0.000,0.000,0.0240
0.1440,0.0005,0.0021,1.1900,-0.000,-0.000,-0.061,0.8701,0.8700,0.8861,0.8984,0.000,0.000,0.000,0.0256
0.1460,0.0006,0.0021,1.1900,-0.002,-0.000,-0.061,0.8701,0.8700,0.8870,0.8997,0.000,0.000,0.000,0.0269
0.1480,0.0006,0.0021,1.1900,-0.001,0.000,-0.062,0.8701,0.8700,0.8878,0.9010,0.000,0.000,0.000,0.0290
0.1500,0.0007,0.0021,1.1900,-0.001,0.000,-0.062,0.8701,0.8700,0.8887,0.9022,0.000,0.000,0.000,0.0312
0.1520,0.0007,0.0021,1.1900,0.001,-0.001,-0.062,0.8701,0.8700,0.8896,0.9036,0.000,0.000,0.000,0.0334
0.1540,0.0008,0.0021,1.1899,-0.001,-0.003,-0.063,0.8701,0.8700,0.8905,0.9050,0.000,0.000,0.000,0.0358
0.1560,0.0009,0.0021,1.1899,-0.003,-0.005,-0.063,0.8701,0.8700,0.8913,0.9062,0.000,0.000,0.000,0.0383
0.1580,0.0010,0.0021,1.1899,-0.008,-0.007,-0.063,0.8701,0.8700,0.8921,0.9080,0.000,0.000,0.000,0.0407
0.1600,0.0011,0.0021,1.1900,0.004,-0.003,-0.062,0.8701,0.8700,0.8930,0.9095,0.000,0.000,0.000,0.0438
0.1620,0.0012,0.0021,1.1901,0.006,-0.000,-0.059,0.8701,0.8700,0.8945,0.9108,0.000,0.000,0.000,0.0470
0.1640,0.0012,0.0021,1.1901,0.003,0.001,-0.059,0.8701,0.8700,0.8961,0.9124,0.000,0.000,0.000,0.0497
0.1660,0.0014,0.0021,1.1901,-0.001,0.002,-0.060,0.8701,0.8700,0.8977,0.9140,0.000,0.000,0.000,0.0535
0.1680,0.0015,0.0021,1.1901,-0.005,0.002,-0.060,0.8701,0.8700,0.8993,0.9156,0.000,0.000,0.000,0.0572
